comment_id,kindergarten_id,parent_id,comment,grade,date,
1,1,1,"פעוטון משפחתי עם צוות חם ואוהב, מטפלות מסורות והכי חשוב הילד מגיע ויוצא עם חיוך מהגן!",5,2018-06-23,
2,1,2,"הבת שלי שם מגיל 4 חודשים ותהיה עד גיל 3 לפחות! גן מושלם, נקי ומסודר, צוות מדהים, רך וקשוב לצרכי הפעוטות",5,2022-05-14,
3,1,3,"זכינו להכיר צוות חם אוהב ומקבל, עם המון סבלנות ומתן יחס אישי וקרוב. אין ספק שעשינו את הבחירה הנכונה!",5,2021-08-03,
4,2,4,עומר שלנו נמצא בגן כבר יותר משנה ואנחנו מאוד מאוד מרוצים! מהרגע הראשון שנכנסנו לגן הרגשנו כמו משפחה.,5,2020-07-05,
5,2,5,איזה כיף זה לשלוח את הבת שלנו לגן כשאת פניה מקבל צוות חייכן ונעים שרואים שאוהב את העבודה שלו בזמנים כאלה זה מאוד מרגיע לקבל תחושה של ביטחון וחום אנחנו מרוצים מאוד מהבחירה שלנו וממליצים,5,2022-12-02,
6,3,6,"אחרי ״מסע חיפושים״ אחר הגן הנכון , אני יודע ומרגיש שזו הייתה הבחירה הנכונה ביותר עבורנו ועבור אלי. כשאלי פוגשת בבוקר את הגננת והצוות היא מתמלאת באושר ולא מפסיקה לחייך וכך גם כשאנחנו באים לקחת אותה. אלי נמצאת בפיקוח מקצועי ובהשגחה מתמדת לאורך כל היום, הגן מספק עבורה פעילות מלאה בגירוי התפתחותי, הצוות תמיד מחייך. יש תקשורת עם הגן לאורך כל היום. הגן מחוסן. מומלץ בחום.",5,2022-11-03,
7,3,7,"גן נעים מאוד וצבעוני, עם צוות מדהים, מסור ומקצועי שנותן יחס חם ועושה הכל כדי שלילדים יהיה טוב. מעדכנים אותנו בכל פרט קטן ומקבלים המון תמונות ועדכונים על הנעשה בגן. הצוות מקסים, אכפתי, ואוהב. מומלץ מאוד",5,2022-09-11,
8,5,8,"גן מהמם ביופי, נקי ומסודר עם המון משחקים מושקעים, אוכל בריא, צוות מקצועי אכפתי ורגיש. אנחנו שנה ראשונה בגן ולמרות ההסתגלות והלחץ של אמא טרייה מאד מרוצה מהגן.",5,2021-10-08,
9,5,9,"התאומים שלי היו בו וכעת נמצא אחיהם הקטן. בגן הזה יש רמה של איכפתיות, טיפול, חום מדהימה. הילדים הולכים עם חיוך וחוזרים עם חיוך. יש השקעה בהפעלות בהתאם לקבוצות הגיל, מזון טעים שמבושל מדי יום, ותמונות יומיות כדי לחוות ביחד עם הילדים את הכל ביחד.",5,2022-11-05,
10,5,10,"לגן יש יחס חם ואוהב לכל ילד. יש מגוון רחב של פעילויות מלאות בהשקעה בילדים וההשקעה ניכרת בהתפתחות הילדים (אנחנו מוצאים את עצמנו מופתעים המון ממשהו חדש שהילדה למדה ולא מאיתנו). הגן תמיד נקי והילדים מתוקתקים, האוכל ברמה גבוהה ויש אירועים מושקעים",5,2023-02-24,
11,6,11,"אני מאוד מרוצה מהגן. היחס לילדים מעולה, הגן מפתח עצמאות אצל הילדים. הפעילויות מאוד מאוד מגוונות, האוכל טעים ומזין. כל האירועים בגן מושקעים מאוד. כל ילד מקבל יחס אישי. מאוד מקפידים בגן על ניקיון. אני אמשיך לשלוח את בני לגן הזה גם בשנה הבאה.",5,2023-01-21,
12,6,12,"הכנסנו את אביב לגן בחששות, בכל זאת ילד ראשון ומאוד דאגנו. לאחר כמה ימים כבר נוכחנו לדעת שהילד בידיים מעולות, הצוות משקיע, אוהב וחם ואין מאושרים מאיתנו שהוא שם.",4,2022-03-29,
13,6,13," הגן נקי, הכל צבעוני, צוות מספר 1, אוכל טרי כל יום, ילדים מאושרים , מגוון פעילויות מעשירות לילדים, חום ואהבה אף פעם היה חסר. דאגה לילדים במקום הראשון. פשוט גן מהמם . ממליצה בחום לכולם",5,2023-01-18,
14,7,14,"הילד שלי נכנס לגן בגיל 11 חודשים והיה לו ממש קשה בהתחלה אבל עם הזמן הוא התרגל לגן ולצוות המדהים שעטפו אותו בחום ובאהבה. הילד חוזר כל יום נקי ושמח ואני מאוד מרוצה מהצוות על הדאגה והטיפול בילד שלי, ממליצה בחום!",4,2022-07-21,
15,8,15,"אתה יודע שעשית את הבחירה הנכונה של הגן, כשאתה שם את הילד שלך בבוקר בגן, והוא לא מפסיק לחייך לצוות ושמח להגיע. וכמובן כשאתה מגיע לאסוף אותו בסוף היום והוא כולו מלא חיוכים, ואתה רואה שהיה לו יום מקסים. עם זאת, המבנה של הגן הוא ישן,  אם את/ה מחפש מקום סופר נקי שהילד יכול ללקק את הרצפות, זה פחות בשבילך.",3,2022-08-06,
16,9,16,"גן עם צוות מדהים וחם. משקיעות בילדים. דואגות, מטפחות , אכפתיות ומחבקות. נעימות ותמיד עם חיוך. הקטנה שלנו אהבה להגיע כל בוקר. הלכתי שקטה לעבודה בידיעה שהילדה שלי נמצאת בידיים הכי טובות שיש. ממליצה בחום לכל הורה :)",5,2022-09-16,
17,10,17,"וות מלא באהבה , צוות שמשקיע בלימוד תכנים ,הילד ככ שמח להגיע לגן כל פעם מחדש גם אחרי חגים גם אחרי חופש גדול פשוט הלך בשמחה ",5,2021-07-13,
18,11,18,"הגן הזה הוא פשוט משפחה. כאמא ""לחוצה"" אני ככ רגועה כשהילדה נכנסת בדלת הגן",5,2022-04-23,
19,12,19,גן מעולה! הילדה שלי מגיעה כל בוקר לגן בחיוך וקופצת בשמחה על הצוות! צוות מכיל מחבק וחם.. המון תכנים לימודיים והשקעה בילדים. אוכל טרי ומזין. מקום שהוא בית! מומלץ בחום!,5,2023-02-27,
20,12,20,"ההתנהלות מול ההורים הינה בשקיפות ומתוך שיתוף פעולה וכהורים אנו נהנים ממערכת יחסים של אמון ובטחון בצוות הגן. הן עובדות עם הילדים בקבוצות, מעבירות תכנים ומקפידות לקדם כל ילד וילד לפי צרכיו וגילו. הילדים חוזרים מאושרים, עם אוצר מילים רחב, שירים וריקודים.",5,2022-03-12,
21,13,21,"הגן נהדר והצוות חם ואוהב, ממליצה באהבה גדולה",5,2023-01-09,
22,14,22,"אין לי מילים לתאר כמה אני מרוצה מהגן. הצוות שנבחר בקפידה והוא קבוע. צוות מסור ומדהים חם ואוהב האוכל מושקע, טרי ומגוון כל יום שפע של פעילויות מהנות יש חצר גדולה מאובזרת ומוצלת גן שהוא משפחה אחת גדולה ומאושרת וזה מורגש על הילדים. מומלץ מנסיון ובהרבה אהבה",5,2021-06-27,
23,14,23,"גן מושלם!! צוות אוהב מנוסה ומכיל. מגוון פעילויות חינוכיות מעשירות, חוויתיות של צוות הגן ומפעילים חיצוניים. אוכל בריא, טרי מגוון וטעים!!!",5,2021-06-23,
24,14,24,"הגן הטוב ביותר בהרצליה ללא צל של ספק. צוות חם ואוהב שמעניק לילדים בית שני, יחס חם, מחבק ומכבד, מעדכן את ההורים ומסייע הרבה מעבר לתפקיד, ניכר שהצוות אוהב את הילדים ואת העבודה",5,2019-09-04,
25,15,25,הצוות מקסים הילדים נכנסים בריצה לגן.אני רגועה שב9-10 שעות שהילד שלי נמצא בגן יש לי על מי לסמוך! רק חבל שהאוכל אינו איכותי ומזין ,4,2020-06-16,
26,16,26,"צוות חם,מחבק ואוהב. אוכל טרי מושקע וטעים,גן נקי. תכנים חינוכיים מושקעים מלמדים ומפתחים. הילד פורח,שמח ומתפתח - רק מילים טובות",5,2020-08-29,
27,17,27,"צוות מדהים ואוהב, ניהול מתוקתק ומסודר ע""י גננת אסרטיבית ואוהבת אשר משקיעה בגן ובכל ילד בצורה יוצאת דופן. מומלץ בחום",5,2021-09-28,
28,18,28,"גן שהוא בית! מושלם מכל הבחינות! הצוות החם והאוהב, הנתינה והאהבה לילדים, השקעה וחשיבה על הפרט האחרון",5,2020-10-06,
29,20,29,"בתור אמא שעובדת משרה מלאה חיפשתי את המקום הכי טוב ששם אוכל להשאיר את הילדים שלי. ידעתי שאני לא אוכל להיות רגועה ב 100% אבל רציתי להיות הכי רגועה שאפשר. הצוות הראו לי שיש דבר כזה גן מושלם, יש דבר כזה ללכת לעבודה בעיניים עצומות ולדעת שהילדים שלך מקבלים את הכי טוב שיש. גן מלא אהבה ששם את בטיחות הילדים במקום הראשון תוך כדי קניית משחקים מורשים בלבד ועד אוכל איכותי ובייתי שמוכן יום יום",5,2019-02-27,
30,22,30,"בחרנו לא להמשיך בגן בגלל ההנהלות של מנהלת הגן. אישה שבהיכרות ראשונית מקסימה אותך וכשנרשמים לגן, מתברר שהיא קצת אגרסיבית, לא נעימה ולא מוכנה לשמוע ביקורת או לשמוע הורים שיש על ליבם משהו",2,2022-05-30,
31,24,31,"צוות קבוע, מסור ואחראי, אוכל טרי ותשומת לב לכל ילד. מבנה מרווח ובטיחותי + מרפסת שמש עם מתקנים, חוג חיות, שירים ופעילויות",5,2022-08-11,
32,25,32,"הגן נקי ומתוקתק (תמיד) והצוות מקצועי ועוטף את הילדים בהרבה חום ואהבה. יש פעילויות מגוונות כמו חוג חיות ומוסיקה והילדים נהנו מהם מאוד. היתה לנו שנה מדהימה, הבת שלי שמחה ללכת לגן והתפתחה מוטורית ורגישית וזה המבחן האמיתי בעיני! 100% אמון, חום, אהבה ומקצועיות!",5,2021-08-12,
33,28,33,"הבת שלי כבר שנה שנייה בגן ואין ספק שזכינו!! צוות חם ואוהב, גן רחב ידיים ונקי והכי חשוב חום ואהבה ללא הפסקה! מומלץ בחום ובאהבה",5,2021-07-22,
34,30,34,הרגע הראשון שהבת שלנו נכנסה לגן הרגשנו את החום והאהבה לילדים. האווירה תמיד שמחה ונעימה וכיף לראות שהילדה באה עם חיוך כל בוקר. מומלץ!!,5,2022-06-19,
35,31,35,"אווירה חמה וביתית, יחס חם ואוהב . אמה שלנו מאוד נקשרה לשולי ולצוןת מהרגע הראשון. ממליץ בחום",5,2022-07-07,
36,32,36,"לצאת לעבודה עם ראש שקט ולהיות בטוח שהילד יקבל את כל מה שצריך!!! למידה כיפית, פעילויות מגוונות, יציאה לחוגים, אוכל מאודדדדד טעים , ממליצה מאוד !",5,2020-08-09,
37,33,37,"גן מקסים, עם יחס אישי ורגיש לכל ילד וילדה. הבן שלנו חוזר רגוע ושמח, נותן לנו הרבה שקט נפשי לדעת שהוא במקום שמתייחס בצורה מכבדת ואוהבת לצרכים שלו",5,2023-01-27,
38,35,38,גן משפחתי אינטמי שלומד להכיר כל פרט הכי קטן על הילד. גישה חינוכית יחודית ויוצאת דופן המאפשרת לילד(ה) להתפתח בקצב שלו,5,2022-01-25,
39,37,39," באווירה משפחתית ועם המון סבלנות, אהבה, מחשבה ורגישות- גולי ואייל מעבירים את זמנם עם הילדים- ברחבי הפארק או בתוך הגן. עם המון הקשבה לצורך של הילדים, לתחומי העניין שלהם, עם המון רגישות לנפשם- הימים בגן הם מלאכת מחשבת של אהבה לתקופה המיוחדת הזו- הילדות. כאמא, אני באמת ובתמים שקטה כל כך ושמחה כל כך שביתי זוכה לכל הטוב הזה",5,2022-12-13,
40,39,40,"גן נפלא, בכמה רמות מעל שאר האלטרנטיבות בסביבה, וגם אלה שלא בסביבה... 1. צוות נהדר. אמין, שקוף ואוהב. 2. אוכל ברמה גבוהה. 3. גישה לילדים - מחבקת ותומכת",5,2021-09-15,
41,41,41," זו הבחירה הכי טובה שיכולתי לעשות עבור הבן שלי.הגן באוירה של משפחה, עם טיפול מסור, הקשבה מרובה, השקעה רוך והרבה אהבה. הבן שלי שמח ללכת לגן ונחשף לנגינה, ריקודים, יצירה, טיולים יומיים ואוכל בריא. אני ממליצה בחום על הגן ועל גולי ואייל שהם לא פחות ממדהימים!!",5,2022-04-24,
42,50,42,"בכל בוקר ביתי הולכת לגן בשמחה והתרגשות. בשבתות היא מדברת על כך שרוצה ללכת לגן. מרגיש לנו שהגן והבית מחוברים בסינרגיה מושלמת. יש לי ביטחון מלא שביתי מקבלת בגן את כל התשומת לב והאהבה להם זקוקה. בזכות הצוות המסור היא מתפתחת, גדלה ומתעצבת כאינדיוידואל. בלב שלם אוכל להגיד שלא יכולנו למצוא עבורה מסגרת יותר טובה מאשר גן פלא. לא נתקלתי בשום מסגרת ברמת מסירות, אהבה, מקצועיות,קשב ורצון טוב כמו בגן פלא. ממליצה בחום ובלב שלם.",5,2021-05-15,
43,50,43,"צוות מדהים, אוהב, אכפתי ומחבק! אך אני חושבת שהיה נחמד אם הפעילויות היו יותר מגוונת",4,2022-02-26,
44,50,44,"גן מקסים, צוות חם, אוהב מאוד משקיעים בכל ילד, משקיעים בהעשרה, למידה וחווית הילד. הדבר היחיד שלדעתי צריך להשתפר הוא המזון. אם את מחפשת מזון בריא ומזין זה פחות המקום בשביל הילד שלך",3,2022-07-08,
45,52,45,"לפני שרשמנו את יאיר שלנו, בדקנו וקיבלנו הרבה המלצות על הגן והצוות. לא יכולה להגיד שאנחנו לא מרוצים אך מעט מאוכזבים מהתקשרות עם ההורים ומהפעילויות שיש בגן. יאיר שלנו ילד פיקח אך בתקופה שלו בגן אינו התפתח ולמד ",2,2021-05-17,
46,53,46,"יש הרגשת משפחתיות עצומה שאין אותה במקומות אחרים. היחס לכל ילד וילדה הוא הכי אישי, הכי דואג , הכי משפחתי! אם זאת יש לשים לב כי המבנה ישן והתחזוקה אינה טובה",4,2023-03-03,
47,53,47,"הילדה  חוזרת שמחה , ושמחה לחזור כל בוקר לגן בהתלהבות! אנחנו מאוד מרוצים רגועים ושמחים עם הבחירה בגן. רק צריך לשים לב כי אין חניה כלל באיזור ויש המון פקקים בבוקר כך שאנחנו מוצאים את עצמנו נאבקים בכל בוקר כדי להגיע לעבודה אחרי ההורדה בגן",4,2023-03-16,
48,55,48," צוות הגן חם ואוהב ומפזר המון אהבה וחום על הילדים, הגננת אישה מופלאה עם לב רחב ואוהב. תמיד נקי ומסודר,מבנה הגן בעייתי מעט כי ישנו רק תא שירותים אחד לכל הילדים הגמולים והחצר קטנה וצרה. הפעילויות בגן יכולות להיות יותר מגוונות",4,2023-01-22,
49,57,49,הגן הוא הגן הראשון שתיכנסי אליו תרגישי נורמליות לא נקי מידי לא מלוכלך מידי רמת חינוך מצויינת רכישת מיומנויות חברתיות אין דברים כאלה דאגה והכלה של הילדים . כל אחת מצוות הגן באמצעות אוהבת ילדים בקיצור אם תרצו עוד מידע אתם/ן מוזמנות לפנות אלי,4,2021-03-17,
50,60,50,"הגננות מאוד לא סובלניות, מפטרים גננת שעבדה שם כבר 17 שנים בגלל משהו קטן, גננת חדשה צועקת על ילדים. מבחינת התפתחות, הגננות כמעט לא נמצאות עם ילדים, הילדים משחקים לבד כל הזמן בחצר. יש רק 1-2 חוגים כל שבוע. כל הרגליים ננשכות על ידי יתושים או פרעושים. אין מיטה או מזרונים לילדים, יש רק ספות מוזרות. לא מומלץ.",1,2022-09-17,
51,61,51,"גן ישן ודי מוזנח. הן מבחינת החצר, הריהוט, המבנה עצמו והן מבחינת הצעצועים והמשחקים. ניהול הגן לקוי- מודיעים הכל ברגע האחרון, ממש בערב לפני, לא נותנים מענה לשאלות. הילדים כל הזמן בחוץ ובקושי יש להם פעילויות. גננות מתעסקות בעיקר בבישול והילדים נמצאים עם הסעיות בלבד..",1,2021-06-27,
52,63,52,"הצוות מצוין. דואג, אכפתי, לבבי. המשחקים מעט ישנים אבל לילדים לא אכפת. מנהל הגן טיפה מנותק...",3,2022-01-15,
53,65,53,"הגן הכי טוב שיש. שני הילדים שלי היו בו. הצוות הכי משקיע שיש הן בפן הפדגוגי והן בתזונה, הכלה, חום ואהבה. ממליצה בחום!!!",5,2021-04-13,
54,67,54,"שלושת ילדי גדלו בגן הזה, הגן הזה משפחה. אין צורה אחרת לתאר את זה, גלינה מנהלת הגן חמה אוהבת, עם ניסיון של שנים. בוחרת את הצוות שלה בפינצטה, יש העשרה, אוכל ביתי, אירועים. הצוות חם ומתחשב, מקבל תמיד בחיוך את הילדים רגישים לכל נושא וזמינים כל הילדים תמיד הלכו בחיוך וחזרו עם חיוך ניקיון מאוד חשוב בגן. אם אתם מחפשים משפחה זה המקום .",5,2022-08-25,
55,68,55,"ממליצה בחום! הצוות נהדר, אוהב ואכפתי. הילד למד הרבה בגן וזה בזכות הגננות המדהימות",4,2021-09-21,
56,68,56,"הגן הוא ממש בית רחוק מהבית. הצוות נפלא, מאוד חם, סבלני ומחבק, מורגש שנבחר בקפידה . הרבה העשרה - גם בחוגים וגם בפעילות במהלך היום, הילדה התפתחה בצורה מדהימה",4,2022-08-18,
57,90,57,"צוות מעולה, ילדים הולכים בכייף ולא רוצים ללכת הביתה בסוף היום. אוירה חמה, הרבה פעילויות. כל הילדים של חברים גם היו או נמצאים בגן. ממליצה מאד.",4,2022-12-15,
58,90,58,"גן ביתי וחם, צוות מדהים. הרבה פעילויות והפעלות. מאוד מרוצה מהגן.",4,2021-11-30,
59,91,59,הילדה שלי מאושרת ללכת לגן מדיי יום. הצוות מעולה ומעניק הרבה חום ואהבה. הגן תמיד פתוח להורים. הכל שקוף. כיף אמיתי להיות חלק מהגן המשפחתי הזה,5,2022-08-13,
60,93,60,"צוות הגן מובילות את הגן ביד רמה, הן דואגות לילדים מכל הלב, מעשירה אותם בתוכן חינוכי ונמצאת שם לכל בעיה ושאלה. אני ממליצה בחום!",4,2021-08-15,
61,93,61,גננת משכמה ומעלה . צוות הסייעות סבלני ואכפתי. אמנם הבן שלי מאוד נהנה בגן אך הייתי שמחה שיחס הצוות-ילדים יהיה קטן יותר,3,2022-04-07,
62,101,62,"גן גדול וחצר ענקית ומושקעת, צוות מעולה תוכן לימודי עשיר, וגננת מושלמת שאין עליה. הדאגה לפרטים הכי קטנים, ארוחות מגוונות וביתיות פשוט אין דאגות וראש שקט.תעשו לעצמכם טובה ולכו תראו אתם כבר תבינו לבד .",4,2023-02-15,
63,102,63,"הילדה שלי חוזרת מאושרת הביתה.לפי הרוגע והשמחה שלה אני בטוחה שהיא בידיים טובות. הצוות חם ואוהב, והגן נקי ומסודר, אבל האוכל מגיע בקייטרינג ואינו טרי ובריא",3,2022-08-17,
64,106,64,"גן מדהים , גננת בעלת ותק עם אכפתיות , נתינה , אהבה, דאגה והקשבה לילדים וכן צוות הגן מקסים ואכפתי. גן נקי ומסודר עם אוכל ביתי וחוגים רבים לילדים .ניכר המון השקעה ומחשבה בהתאמה בין גיל הילד לפעיליות",4,2022-08-18,
65,109,65,"גן מדהים! הגננת הכי מקצועית, איכפתית ומדהימה שיש! צוות מעולה! אוכל ביתיי ! גן נקי ומסודר! הבחירה הכי טובה לילדים ולהורים! מומלץ בחום ואהבה!",5,2023-02-26,
66,110,66,האוכל מזין ויש לנו תפריט שאנו רואים מה אוכלים כל יום. הילדה באה לגן עם חיוך יש חוגים הילדה חוזרת נקיה ומסודרת,4,2022-01-23,
67,112,67,"קודם כל ובעיניי הכי חשוב החום ואהבה שהילדים מקבלים בגן שווה את הכל! אחר כך הניקיון, האוכל המעולה והטעים והצוות המהמם שאפשר לסמוך בעיניים עצומות שהילד בידיים הכי טובות שיש! נותר רק לפרגן שיצליחו",4,2023-02-14,
68,114,68,גן מעולה רמה גננת מדהימה עם צוות מושלם אוהב דואג ומכיל.הילדים פשוט רצים לגן.,4,2020-08-10,
69,115,69,"הורים יקרים, אם הינכם מתלבטים האם לרשום את ילדכם למשפחתון של כייף.. אל תתלבטו.  הגננת מהממת בזכות ולא בחסד, נותנת לילדים חום ואהבה, מלמדת ערכים ברכות ובשמחה. כל בוקר בכניסה לגן ריח הבישולים המדהימים שלה עולה באויר",5,2020-07-23,
70,117,70," צוות מקצועי, נאמן, אוהב, מחבק ומחנך אמיתי. הפעילויות עשירות ומגוונות, התכנים מותאמים לגיל ולתקופה בשנה, סדר היום מצוין ומוקפד, אוכל ביתי ומזין והכי חשוב- הצוות!! האהבה אמיתית ללא תנאים לילדים.",5,2020-06-27,
71,121,71,"צוות הגן מקסים ,מעניק חום ואהבה . הילדה אפילו לא נפרדת בבוקר ,רצה לצוות וכל סופש מחכה לחזור כבר לגן . אין ספק שהילד השני גם יהיה בגן הזה למרות שעברנו לעיר אחרת .",5,2022-10-21,
72,126,72,"צוות מדהים, מקצועי, חם ואוהב. ניהול טוב ואיכותי. גן מדהים ומומלץ מאוד! הבן שלי חוזר מאושר מהגן ומגיע כל בוקר עם חיוך. אין ספק שכל הקטנטנים שם בידיים טובות.",5,2021-07-02,
73,129,73,"גן נהדר כייפי סופר-מקצועי מתוקתק , המון ותק ונסיון ,אוזן קשבת, תענוג גם לילדים וגם להורים. תקופת הקורונה לא הצליחה להפחית מהחוויה הטובה ,רמת החינוך והטיפול ואפילו להיפך, ממליצה בחום ושומרת פינה חמה בלב לגן המקסים ולצוות המנצח",5,2022-07-01,
74,130,74,אנחנו לא מרוצים מהחינוך שהילד שלנו מקבל בגן.,2,2022-07-01,
75,130,75,אני מאוכזבים מחוסר התקשורת של הגננות והסייעות בגן. דרשנו מספר פעמים שיקוף של מצב הילד שלנו ולא זכינו למענה שלא ציפינו,1,2022-07-01,
